,i_window_in_trial,i_start_in_trial,i_stop_in_trial,target,subject,session,run
0,0,125,1250,3,1,0train,0
1,0,2128,3253,0,1,0train,0
2,0,4046,5171,2,1,0train,0
3,0,5998,7123,1,1,0train,0
4,0,8006,9131,1,1,0train,0
5,0,10117,11242,2,1,0train,0
6,0,12034,13159,0,1,0train,0
7,0,14084,15209,3,1,0train,0
8,0,16015,17140,2,1,0train,0
9,0,18013,19138,0,1,0train,0
10,0,19919,21044,1,1,0train,0
11,0,21814,22939,1,1,0train,0
12,0,23786,24911,1,1,0train,0
13,0,25730,26855,3,1,0train,0
14,0,27697,28822,2,1,0train,0
15,0,29817,30942,2,1,0train,0
16,0,31825,32950,1,1,0train,0
17,0,33891,35016,1,1,0train,0
18,0,35927,37052,0,1,0train,0
19,0,37993,39118,1,1,0train,0
20,0,40063,41188,2,1,0train,0
21,0,42143,43268,3,1,0train,0
22,0,44055,45180,3,1,0train,0
23,0,46086,47211,0,1,0train,0
24,0,48039,49164,1,1,0train,0
25,0,50000,51125,3,1,0train,0
26,0,52104,53229,3,1,0train,0
27,0,54108,55233,2,1,0train,0
28,0,56083,57208,3,1,0train,0
29,0,58109,59234,3,1,0train,0
30,0,60180,61305,2,1,0train,0
31,0,62287,63412,1,1,0train,0
32,0,64379,65504,2,1,0train,0
33,0,66470,67595,0,1,0train,0
34,0,68513,69638,0,1,0train,0
35,0,70577,71702,0,1,0train,0
36,0,72597,73722,3,1,0train,0
37,0,74569,75694,0,1,0train,0
38,0,76532,77657,1,1,0train,0
39,0,78457,79582,3,1,0train,0
40,0,80538,81663,2,1,0train,0
41,0,82516,83641,0,1,0train,0
42,0,84506,85631,2,1,0train,0
43,0,86625,87750,0,1,0train,0
44,0,88531,89656,3,1,0train,0
45,0,90459,91584,2,1,0train,0
46,0,92573,93698,0,1,0train,0
47,0,94632,95757,1,1,0train,0
0,0,125,1250,1,1,0train,1
1,0,2128,3253,1,1,0train,1
2,0,4046,5171,3,1,0train,1
3,0,5998,7123,2,1,0train,1
4,0,8006,9131,1,1,0train,1
5,0,10117,11242,0,1,0train,1
6,0,12034,13159,1,1,0train,1
7,0,14084,15209,0,1,0train,1
8,0,16015,17140,2,1,0train,1
9,0,18013,19138,3,1,0train,1
10,0,19919,21044,1,1,0train,1
11,0,21814,22939,0,1,0train,1
12,0,23786,24911,0,1,0train,1
13,0,25730,26855,1,1,0train,1
14,0,27697,28822,0,1,0train,1
15,0,29817,30942,2,1,0train,1
16,0,31825,32950,3,1,0train,1
17,0,33891,35016,3,1,0train,1
18,0,35927,37052,3,1,0train,1
19,0,37993,39118,0,1,0train,1
